P19224	P33261
P16662	P33261
P06239	P17405
P07864	Q86WU2
Q8WUN7	Q9NYB0
P78559	Q9BW19
O43809	P36578
Q10587	Q15561
Q07817	Q96Q05
P31948	Q96PV0
O95416	Q9NY99
O14901	Q8WVL7
P20827	Q96B86
O75177	O95149
P57678	Q14137
P49795	Q9P2Y5
P19526	P22083
P21810	Q16527
Q14008	Q86SH2
Q14919	Q9H3H3
P02686	P23560
P04818	P34897
Q8TDM5	Q9BWS9
P47755	Q9NP98
P08172	P20382
P24903	P30711
P13942	P78509
Q00978	Q15393
O15090	P05114
O75223	P48506
O00522	P46019
P20645	P24390
O14561	Q86UP2
P30260	Q8IVD9
P31270	P52948
Q8N5Y2	Q8N693
O76009	P47881
Q03252	Q9UBU7
O95631	Q9UKX3
Q86Y26	Q9UKX3
Q15386	Q5VTR2
Q5BJF6	Q96S59
Q14807	Q15021
Q15021	Q96KQ7
P0DP23	Q0D2I5
P0DP24	Q0D2I5
P0DP25	Q0D2I5
P22392	Q06265
Q99884	Q9HB21
P54829	Q99884
O75052	Q99884
P23352	Q15904
P09884	P23352
P26599	Q12972
Q76N32	Q9BV73
Q8IVH8	Q9UBQ0
Q7L523	Q8IVH8
O14604	Q9BY66
P00403	Q9Y2E5
O14576	Q8IVD9
P51948	Q9Y5B0
Q9HD67	Q9UBP0
Q13409	Q9H0X9
P13489	P48556
P00156	P28331
Q8TDY2	Q96EY1
Q16533	Q9HAJ7
P60468	Q9Y3F4
P0DP23	Q9Y3F4
P0DP24	Q9Y3F4
P0DP25	Q9Y3F4
P00505	P48507
O15230	P16070
Q13573	Q9NUM3
P12111	P21815
O75382	Q15276
P10809	Q9NZL9
P42285	Q9BWU1
Q9BZR6	Q9UPY8
Q9UHI6	Q9Y6F1
O94813	O95409
P07437	P35221
Q14126	Q8N3R9
Q14126	Q9UI47
Q9HAJ7	Q9UKV0
P56645	Q96KJ9
P35250	Q92878
Q6P1Q0	Q9NX47
Q06609	Q15431
Q7L0J3	Q9NZ43
Q86SQ7	Q8IY31
Q99704	Q9Y2X3
P04843	Q13616
O15457	Q969F8
O15457	O43313
O43513	Q9BTC8
Q92995	Q9Y548
Q13395	Q9UKV8
P68104	Q13395
P25105	P30679
P82673	Q969S3
P23588	P51571
A9YTQ3	P31946
Q16513	Q96SN8
O75886	O95631
O95453	Q96T58
P67809	P84103
P67809	Q15327
O95391	Q15717
Q14789	Q8TBA6
Q9BYJ9	Q9NSE4
O00139	Q1MX18
Q8N427	Q9HCX4
P20073	Q96QK1
O95630	P46934
O60763	P46934
P08243	Q13886
P29992	Q9Y5W8
Q14683	Q9HC77
O95271	Q14683
P41226	Q9UKB1
P41208	Q9NXR1
Q9NXR1	Q9UPT5
O75078	Q14088
O76070	Q06190
O00482	O95342
O43283	P57740
Q9HBY0	Q9NYZ4
O15061	Q9HBY0
O43432	P47813
O43189	Q14966
P49773	Q00325
Q92925	Q9UIF9
Q96NT5	Q9H015
O75051	P48431
P49902	Q7Z569
Q00653	Q9BYE7
O43602	P52198
O43602	Q02952
P09012	P23381
P09012	Q08945
O75602	Q8IY31
P49459	P60228
O75155	P49459
P49459	P82979
O76041	P61296
P28335	P62873
O00571	Q96FV9
Q14807	Q9NTJ3
P81274	Q14807
Q8WWY3	Q92499
P62995	Q92499
P48775	P51531
P07900	P48651
P12955	P23368
O00221	O00463
Q6NWY9	Q8TEQ6
P23246	Q8TEQ6
Q12972	Q8TEQ6
Q8IYB3	Q8TEQ6
Q8TEQ6	Q9BQR3
Q15393	Q8TEQ6
Q9NTI5	Q9NTJ3
O75844	Q15185
O60907	Q13127
P49918	Q9Y3D8
P08183	P08195
P31689	Q9UL46
P53618	Q15363
Q13617	Q9UBE8
O00204	Q9BTT0
O60869	O75175
O75175	O75446
O43298	O75175
O60907	Q9ULW0
Q14203	Q9UNZ2
P20073	Q9Y5X3
Q9H252	Q9H2C1
P05388	Q9UL46
Q99747	Q9Y2J0
P30086	P60900
P30040	Q9UL46
P51003	Q92841
O43504	Q9Y266
P98172	Q13017
P07437	P49588
O95239	Q9NPA3
P08172	Q9H7P9
O95721	Q15319
Q15319	Q9H252
O43396	P63218
P11215	Q15744
O14893	Q9H4Z2
Q8N4N8	Q9UIF3
