O75899	P05067
O75928	P10415
O95067	Q9Y3F4
O95182	Q96HB5
O95628	Q96FW1
O95997	P23511
O96017	P35251
O96018	Q13322
O96020	P61970
P00505	P62249
P00558	P40227
P01241	Q99726
P02765	P04264
P03973	P29353
P04908	P19105
P05129	P08922
P05164	P20061
P05412	P49810
P06748	Q12931
P07196	Q15834
P07339	P18669
P08138	P16615
P08253	Q92626
P08727	P31947
P09936	P30281
P12314	P29597
P13866	P35070
P14316	Q96EB6
P14598	P40763
P14625	Q96P20
P15923	P49736
P17612	P18848
P17931	Q09472
P18146	P19525
P19105	P62258
P19838	P55211
P20749	Q8TAQ2
P21579	P48547
P21731	P35241
P21796	P78371
P23025	Q8IY92
P23528	Q13094
P23763	Q86Y82
P24522	Q8WZ19
P24864	P67870
P26367	Q96ST3
P27348	P33993
P27348	Q9UER7
P29375	Q14209
P30050	Q9BQA1
P31150	P31321
P31749	P35869
P33993	Q9Y6K1
P35222	Q75N03
P35520	Q02779
P36871	Q96T58
P39019	Q9NZI8
P41597	P50281
P42338	P60953
P42704	P52434
P43243	Q8NF91
P43246	P52907
P43308	Q99942
P43699	Q96RI1
P48556	Q13404
P49354	Q92905
P49368	P52815
P50549	Q9UBC0
P51608	Q9Y6J0
P53618	Q15008
P53990	Q93062
P62993	Q5VST9
P63010	Q07890
P68400	Q99623
Q00577	Q9Y676
Q02575	Q99081
Q05516	Q12772
Q13813	Q96DZ5
Q14687	Q5VU43
Q15052	Q9UQ88
Q15464	Q9ULZ2
Q5JUX0	Q9NPE3
O00160	P12318
Q8N752	Q9NPE3
Q8WYP3	Q9UKG1
Q96BY2	Q9BR01
O00470	P51812
Q99583	Q9H0E3
Q9BPX3	Q9BTX1
Q9NYL9	Q9ULV4
O14744	P52272
O14901	P41222
O14908	Q92529
O15111	P39019
O15145	Q12792
O15151	P46937
O15182	P20936
O15379	Q92598
O43295	Q8NFD5
O43318	Q9NYF8
O60268	P49418
O75379	P19784
O75781	Q13554
O95267	Q02156
P00533	Q6ZN28
P00558	Q13561
P02671	P09429
P04083	Q8WUM4
P04908	Q13185
P05783	Q8IVT5
P07196	P16519
P07947	Q92918
P08047	Q9UJU2
P08133	P29323
P08238	Q8N2W9
P08670	P24593
P09543	P23515
P11387	P11940
P12931	P51668
P15336	Q15717
P15927	Q96KB5
P15941	Q07666
P18564	Q16828
P18754	Q9HAV4
P21860	Q9Y446
P22087	P68400
P22681	Q9P0V3
P25054	Q9UQB3
P26436	Q15884
P26998	Q9Y615
P28482	Q01959
P28749	Q15910
P35241	P47900
P36578	P51571
P41240	Q13418
P41279	Q05195
P43403	Q07954
P47888	Q99726
P50990	Q13610
P51159	P63167
P51168	Q9Y345
P51572	Q9BQE4
P52306	Q9UQ13
P52735	P61978
P53611	Q6P1X5
P56282	Q53EZ4
P60842	Q92878
P0DP23	Q08289
P0DP24	Q08289
P0DP25	Q08289
P0DP24	Q15029
P0DP25	Q15029
P62191	Q9UPT9
P62333	P62837
P62495	Q14152
P68400	Q8IUQ4
P78371	Q15172
Q00005	Q7KZI7
Q03431	Q99759
Q03518	Q7Z4N8
Q05209	Q9UM73
Q07864	Q13952
Q08945	Q14690
Q09161	Q8ND04
Q12933	Q9NY65
Q13105	Q9NVV9
Q13163	Q9UQ16
Q13177	Q15464
Q13501	Q6ZYL4
Q13555	Q92793
Q13952	Q9BQG0
Q14008	Q9UK45
Q14185	Q7L0Q8
Q14185	Q9NRY4
Q14683	Q9H211
Q14847	Q9BV99
Q14980	Q9UNQ0
Q15027	Q9UNS2
Q15149	Q96RT1
Q3ZCQ8	Q96KB5
Q53G59	Q9Y608
Q6K0P9	Q9BVP2
Q6NT76	Q92793
Q6P3W7	Q9NYF8
Q86UT5	Q9H3Z4
Q8N7W2	Q96MA1
Q8ND76	Q9Y6A4
O00255	Q9Y4K3
O00299	Q9Y6Y9
Q92918	Q99952
Q92963	Q9Y4B6
Q969U6	Q9UKT5
O00329	P01116
O00463	P12931
Q96KB5	Q99708
Q99836	Q9HB58
Q9GZN1	Q9UBU8
O00505	P19338
O00716	O75832
O00750	Q13163
Q9NQ92	Q9Y5B0
Q9NWS0	Q9Y6U3
Q9UHD9	Q9UJ04
O14490	O75363
O14544	Q08881
O14576	Q7Z2D5
O14646	Q9NNW7
O14733	Q06730
O14920	Q02878
O15085	Q05513
O15212	P49368
O15259	Q05397
O15350	Q99856
O15393	P82094
O43426	P08247
O43543	P39748
O43781	P57059
