Q15653	Q16543
Q16143	Q8IW70
Q2M2I8	Q99801
Q53ET0	Q8N3F8
Q53HC0	Q9BWQ8
Q53HL2	Q9UQ84
B0I1T2	P09603
Q5TGY3	Q9UKJ3
Q6NZY4	Q7Z2W4
Q7Z4S6	Q9BYD9
Q86SS6	Q9H4A3
Q86VP6	Q96L50
Q86VW0	Q9ULI2
Q8IUH5	Q8TF01
O00159	Q13557
Q8IYJ3	Q8TDW5
Q8IYS0	Q9ULI2
Q8N126	Q9NZW5
Q8N488	Q9H2X6
Q8N5H7	Q9BRG2
Q8NBT2	Q9NVP2
Q8NEC7	Q9Y3C8
O00221	O95831
O00267	P06493
Q8TDC0	Q9NP98
Q8WTS6	Q9NRG4
Q92597	Q92793
Q93045	Q9UQB3
Q96A56	Q9NS56
O00453	Q9H2W1
Q96G25	Q96S21
Q96J94	Q9BXU1
Q96MM3	Q9H4L7
Q96RE7	Q9BV38
Q99590	Q9Y520
Q99717	Q9UPN9
Q9BQS8	Q9NX00
O00555	P63172
Q9H4A3	Q9UK53
Q9HAW4	Q9UKT4
Q9NZM3	Q9Y6Q2
Q9UK53	Q9UM07
O14493	P05783
O14576	P53779
O14576	Q9ULW6
O14594	Q9P2S2
O14603	P0DML2
O14603	P0DML3
O14746	Q9H6R7
O14775	P16520
O14818	Q12791
O14908	P37173
O14920	P06753
O14974	Q99683
O15020	P35080
O15111	P10276
O15111	Q14686
O15126	P46379
O15151	P09429
O15235	P80294
O15294	P04637
O15372	Q15046
O15392	Q13546
O43187	Q05513
O43264	Q9H410
O43424	O75521
O43424	Q02338
O43502	P27694
O43524	Q9UKV3
O43678	O95178
O60282	P05408
O60496	Q05655
O60610	P42858
O60763	P62140
O60921	P38936
O75122	Q9Y2H2
O75367	Q9UMX1
O75376	P45452
O75385	Q8IXH6
O75446	Q8IY57
O75448	P50613
O75448	Q14498
O75531	Q9UI30
O75578	Q8TC59
O75582	Q13164
O75626	Q9P0W2
O75781	P61764
O75794	Q0VDF9
O75914	P31749
O75928	Q9Y252
O75970	Q15562
O94768	Q96L33
O94805	P32004
O95049	P21333
O95071	Q9H992
O95239	Q6PL18
