P08670	Q05639
P08670	P0DPH7
P08670	P0DPH8
P08670	Q15746
P08670	Q92851
P08700	Q01344
P08708	P13639
P08708	Q00653
P08727	Q14118
P08754	P78371
P08833	P24592
P08865	P13693
P08865	P83881
P08962	P09382
P08962	P26006
P08962	P31949
P09001	P99999
P09086	P13010
P09326	P11049
P09326	P13501
P09341	P13501
P09382	P09871
P09382	P26447
P09382	Q16270
P09471	P14136
P09471	Q13387
P09471	Q16352
P09471	Q9H2X9
P09486	P12110
P09486	Q9BX67
P09493	Q13642
P09496	Q10567
P09619	P09871
P09619	P36888
P09619	Q06187
P09619	Q13905
P09619	Q16620
P09619	Q99952
