O60381	Q9Y3Y4
O75144	O95971
O75962	P07332
O14931	P09564
O43318	P10398
O43508	P41273
P15056	P42681
P32297	P48169
O15075	P48730
P49841	P51817
P23416	P78334
P49759	Q00537
P14867	Q05901
P04049	Q12866
P43250	Q13470
O43781	Q14012
O43639	Q3MIN7
O95382	Q8IWQ3
P49841	Q8IWQ3
P57059	Q8IY84
O95382	Q8N5S9
P57059	Q8N5S9
O95382	Q8TDC3
P49336	Q8TDC3
P98174	Q8WXI2
Q92870	Q92974
O15075	Q96Q40
P57059	Q9BXA6
Q96L34	Q9H0K1
Q01082	Q9H0X9
O14931	Q9NP99
Q05513	Q9P289
Q8IWQ3	Q9P289
P06239	Q9UKE5
P11230	Q9UN88
Q16445	Q9UN88
P50570	Q9UPQ3
P68400	Q9UPZ9
O15075	Q9UQB9
Q8IY84	Q9UQB9
O95971	Q9Y279
Q9NSY1	Q9Y6R4
O14939	P01023
O00292	Q06187
P26368	Q12872
P61026	Q92930
P02778	P16109
Q6ZV73	Q8TDY4
O75116	Q96P48
Q9BQI7	Q9ULL1
P54829	Q9Y2R2
O95813	P08476
P31271	Q13133
Q12774	Q8N5V2
O95398	P11233
P63096	Q05BV3
Q15080	Q5VZ18
Q8N3R9	Q8TBB1
P21757	Q9NR16
Q92730	Q9UHD9
Q03113	Q9UL25
O94972	Q9ULH0
Q9ULK6	Q9UPW8
Q9H329	Q9Y2H5
P49418	Q02750
Q9BY11	Q9BZR6
Q14952	Q8IYS5
P49916	Q9UHC1
P10644	Q13233
P15151	P43146
P14210	P98082
O60687	Q8TD84
Q8IWV2	Q9ULB5
Q8IWV2	Q9UN73
P15151	Q9UQP3
P37173	Q9ULC3
O43312	Q9Y3A2
P30279	P36897
P50148	P57775
O43602	Q92968
Q8WXI4	Q9BS40
P01138	P30086
O14497	Q99877
O95999	P35225
Q15637	Q8NDT2
Q15835	Q9BQI3
P00491	Q16831
O15105	P04626
P02790	P16234
P21730	P21917
P04626	P35443
P14625	Q12931
P42772	Q13418
P55273	Q13574
P51617	Q9UL46
P48061	Q9BX66
P02749	P17927
O00187	P50281
O15072	Q92626
P12319	Q9NQ25
P28827	Q9Y2I1
O14544	O15034
P55082	P98160
P13591	Q6PJG9
P33681	Q7Z7D3
O43278	Q8IUA0
Q7Z4K8	Q8N126
P59901	Q8N6C5
O15350	Q8N6K7
P46939	Q8NDI1
Q5SYB0	Q8NI35
Q8N556	Q8TD55
Q86TC9	Q96D42
Q13796	Q9H987
Q96JH8	Q9H987
P43146	Q9HBW1
P19320	Q9NSI5
Q6PJG9	Q9NSI5
Q5SYB0	Q9ULL8
Q8IVF2	Q9ULL8
Q8IZA3	Q92794
P06239	Q9NS56
Q6ZUT3	Q9Y250
P61586	Q00535
Q8TAI7	Q96RU7
Q8IWV2	Q9UM47
O60674	O94813
P10912	P13501
Q8IYL9	Q8WWN8
O15530	O43930
O43930	P11801
O43930	P49336
P00750	Q2VWA4
P68400	Q5MAI5
O43930	Q6A1A2
O96013	Q6A1A2
P05129	Q6A1A2
P51817	Q6A1A2
Q02156	Q6A1A2
Q05513	Q6A1A2
Q16566	Q6A1A2
P11309	Q6P3R8
O43930	Q8IU85
O43930	Q8NE63
Q5MAI5	Q8TD08
P53355	Q8WZ42
O43930	Q92630
O43930	Q96BR1
P51812	Q9BXA7
Q15418	Q9BXA7
O43930	Q9NR20
Q6A1A2	Q9NR20
P55196	Q9UNN5
O43930	Q9UQ07
Q6A1A2	Q9Y6R4
P02774	Q9Y614
P01023	P08567
P08572	P19022
O60381	P49959
P21757	P98082
P08567	Q08334
P62857	Q9BSV6
Q9HB21	Q9NZ72
O43930	Q99683
O15117	P13500
O43581	Q71H61
O43639	P37023
Q13277	Q14289
Q8IZJ0	Q9P0W0
P12757	P54764
P35609	Q9Y4J8
P35916	Q04912
Q14155	Q5T2T1
P15882	Q8N2Y8
P31150	Q969Q4
Q9H0F7	Q9H0R8
O75364	Q8N7G0
Q99719	Q9Y678
Q99719	Q9Y6Q5
Q8TF62	Q9Y2G3
Q9NTI2	Q9Y2G3
Q9H0M0	Q9H2X3
