Q6ZMY9	Q969S8
Q14188	Q6ZMY9
P30876	Q6ZMY9
O43711	Q14541
O43711	Q969G3
O43711	Q9UL17
O43711	Q8IXJ6
O43711	Q9Y3C7
O43711	P29084
O43711	O75506
O43711	Q9UFF9
O43711	O95935
O43711	Q9Y3Q8
O43711	Q969K4
O43711	Q9UHF7
O43711	P35659
O43711	Q9H808
O43711	Q9Y2G4
O43711	Q14188
O43711	Q9BX63
P29083	Q9H2W2
Q9H2W2	Q9H808
Q9H2W2	Q9Y2X0
Q14241	Q99853
P10826	Q9UNL4
O60281	Q8TAK6
P50479	Q9BWW4
Q13461	Q9UJQ4
Q15645	Q9HCU5
Q9BWG4	Q9HCU5
Q8TAK6	Q9HA82
P29083	Q8TAK6
P52655	Q8TAK6
Q5VYY1	Q96RK1
Q9BZE3	Q9Y3C7
P52655	Q9BZE3
Q8IXT2	Q9UPG8
Q96HZ4	Q9BWW4
Q8IXJ6	Q9UHV2
Q8N5B7	Q9UHV2
Q9NWX5	Q9UHV2
Q96G23	Q9UHV2
Q14498	Q9UHV2
Q96RK1	Q9H6R6
Q96RK1	Q9H1D9
Q96RK1	Q9P0K7
Q96G23	Q96RK1
Q96EB6	Q96RK1
Q96RK1	Q9H808
Q96RK1	Q9Y6Y0
Q14498	Q96RK1
Q9UBS8	Q9UL36
Q9H6R6	Q9Y692
Q14140	Q96G23
Q96G23	Q9P0K8
Q8IXJ6	Q9BWW4
Q8IXJ6	Q9H5J0
Q9BWW4	Q9Y575
P81877	P81877
P81877	Q96G23
P81877	Q9BQI6
P81877	Q8TAP4
P25800	P81877
P81877	Q8TE12
Q9BWW4	Q9H6R6
Q9BWG4	Q9H6R6
P29084	Q13148
Q7Z7K2	Q8IZQ8
P0C7X2	P28698
Q96AQ6	Q96HR3
P36954	Q8WYK2
Q8IZQ8	Q8WXK4
Q33E94	Q9BWW4
Q8IXT2	Q969K4
Q8IXT2	Q9Y6Y0
Q14188	Q8IXT2
O43298	P29083
Q8N5B7	Q9GZV5
Q13216	Q9BWW4
Q13216	Q9BWG4
Q13216	Q9GZV5
Q8TE12	Q8WUB8
Q96G23	Q9Y3Y4
Q8N8E2	Q969F2
Q969F2	Q9Y2X0
Q9BWW4	Q9P0K7
Q9BWW4	Q9H3R0
Q96G23	Q9BWW4
Q13610	Q9BWW4
Q9BQI6	Q9BWW4
Q9BWW4	Q9H808
Q9BWW4	Q9H7M6
Q9BWW4	Q9Y2X0
Q92610	Q9BWW4
Q8TD17	Q9BWW4
Q6ZW76	Q8WTR7
Q6ZW76	Q9NWS9
O14978	Q9H5H4
P29083	Q13148
Q9H5H4	Q9P0U4
Q9BWG4	Q9P0K7
Q96G23	Q9BWG4
Q96G23	Q9GZV5
Q92585	Q96G23
O15405	Q96G23
Q96G23	Q9UL36
Q9BWG4	Q9BYU1
Q9BQI6	Q9BWG4
Q9BWG4	Q9H808
Q9BWG4	Q9Y2X0
O75123	P28698
O15405	Q8WXK1
O15060	Q8WXK1
Q02086	Q02086
P52655	Q02086
Q02086	Q9UKD1
Q8WYK2	Q9BYU1
O15209	O15209
O15209	Q9Y2X0
Q15543	Q8WYK2
P52655	Q5SXM2
Q9UHF7	Q9UL36
O43251	Q9Y2X0
Q96EB6	Q9UL36
Q9GZV5	Q9H808
P10074	Q8IZQ8
P28698	Q8N8E2
Q8N8E2	Q8WTR7
Q92585	Q9H808
Q92585	Q969S8
Q96A47	Q9NWS9
Q9H334	Q9H808
Q96MV8	Q96MV8
O15405	Q96MV8
P28698	Q9H5H4
P28698	Q8WTR7
Q8WTR7	Q9H808
Q09472	Q9H808
Q969S8	Q9UL36
Q8IZQ8	Q9NWT6
Q13148	Q9Y2X0
Q16534	Q92753
Q7Z6R9	Q7Z6R9
Q9NRM2	Q9UKD1
P17014	Q8WTR7
O15405	Q12789
Q8WTR7	Q9H5H4
O15060	Q8IUH4
Q6VUC0	Q6VUC0
P25490	Q8NDX5
P48436	Q8NDX5
O75496	P20226
O75496	P62380
O75496	Q00403
P56545	Q86Z02
Q86YP4	Q9UJQ4
Q13330	Q9UJQ4
O94776	Q9UJQ4
Q8WXI9	Q9UJQ4
Q9BTC8	Q9UJQ4
Q13547	Q9UJQ4
Q92769	Q9UJQ4
Q16576	Q9UJQ4
Q9UBB5	Q9UJQ4
O96019	Q9UJQ4
Q92922	Q9UJQ4
Q96GM5	Q9UJQ4
O14497	Q9UJQ4
Q12824	Q9UJQ4
P51532	Q9UJQ4
Q9NSC2	Q9UJQ4
Q5T5X7	Q9UJQ4
Q9P2Y4	Q9UJQ4
Q9UJQ4	Q9Y230
P61964	Q9UJQ4
Q6ISB3	Q9UJQ4
Q9BXA9	Q9UJQ4
Q7LFL8	Q9UJQ4
P52747	Q9UJQ4
Q12800	Q9UJQ4
Q9UJQ4	Q9Y467
Q12840	Q9UJQ4
P56545	Q9UJQ4
Q8N680	Q9UJQ4
Q92785	Q9UJQ4
Q01844	Q9UJQ4
O95718	Q9UJQ4
Q93008	Q9UJQ4
Q9H8Y1	Q9UJQ4
Q5T7N2	Q9UJQ4
P51843	Q9NSC2
P51843	P61964
P51843	Q99873
O15294	P51843
Q86YP4	Q9NZI6
Q13330	Q9NZI6
O94776	Q9NZI6
Q8WXI9	Q9NZI6
Q13547	Q9NZI6
Q16576	Q9NZI6
Q92769	Q9NZI6
Q9BTC8	Q9NZI6
O95983	Q9NZI6
Q9NZI6	Q9UBB5
Q9NZI6	Q9Y4A5
Q9NZI6	Q9Y230
Q96L91	Q9NZI6
Q9NZI6	Q9Y265
O96019	Q9NZI6
O95619	Q9NZI6
Q15906	Q9NZI6
Q9NPF5	Q9NZI6
Q9H0E9	Q9NZI6
Q9NXR8	Q9NZI6
Q9NV56	Q9NZI6
Q92922	Q9NZI6
P51532	Q9NZI6
O14497	Q9NZI6
Q8TAQ2	Q9NZI6
Q969G3	Q9NZI6
Q96GM5	Q9NZI6
Q12824	Q9NZI6
Q92925	Q9NZI6
Q99496	Q9NZI6
P78364	Q9NZI6
Q9BYE7	Q9NZI6
Q8N488	Q9NZI6
Q9NZI6	Q9UJQ4
O60341	Q9NZI6
Q9NSC2	Q9NZI6
O95718	Q9NZI6
O60264	Q9NZI6
P61964	Q9NZI6
Q86TG7	Q9NZI6
Q9NZI6	Q9ULM3
P51610	Q9NZI6
Q5VZL5	Q9NZI6
Q9NRZ9	Q9NZI6
Q8IWI9	Q9NZI6
Q96JM2	Q9NZI6
Q92785	Q9NZI6
Q7Z3K3	Q9NZI6
P52747	Q9NZI6
Q96ST3	Q9NZI6
Q99729	Q9NZI6
O95785	Q9NZI6
Q9H2P0	Q9NZI6
Q9NZI6	Q9UPW6
Q12840	Q9NZI6
Q9NZI6	Q9UPN9
P10244	Q9NZI6
Q12830	Q9NZI6
Q6ISB3	Q9NZI6
Q969R5	Q9NZI6
Q8IYH5	Q9NZI6
Q9H9B1	Q9NZI6
Q96JM3	Q9NZI6
Q5UIP0	Q9NZI6
Q6NZY4	Q9NZI6
Q9NZI6	Q9Y5B9
P49916	Q9NZI6
O15294	Q9NZI6
P12956	Q9NZI6
P13010	Q9NZI6
Q6PJG2	Q9NZI6
P43246	Q9NZI6
Q5T7N2	Q9NZI6
P52701	Q9NZI6
Q96PK6	Q9NZI6
P18887	Q9NZI6
P06746	Q9NZI6
Q7Z589	Q9NZI6
P27694	Q9NZI6
P78527	Q9NZI6
Q9NZI6	Q9P2N6
O43823	Q9NZI6
Q96T60	Q9NZI6
Q9NZI6	Q9Y294
Q9NZI6	Q9Y6J0
Q9NZI6	Q9P1Y5
Q9NRR5	Q9NZI6
O95718	Q92922
O14497	O95718
O95718	P51532
O95718	Q96GM5
O95718	Q86U86
O95718	Q9Y4A5
O95718	Q96L91
O95619	O95718
O95718	Q9NPF5
O95718	Q9H0E9
O95718	Q9NXR8
O95718	Q9NV56
O95718	Q86YP4
O94776	O95718
O95718	Q13330
O95718	Q8WXI9
O95718	Q9BTC8
O95718	O95983
O95718	Q13547
O95718	Q92769
O95718	Q09028
O60244	O95718
O95718	Q93074
O95718	Q9ULK4
O75448	O95718
O95718	Q15648
O95718	Q9Y2X0
O95718	Q96RN5
O95718	Q9UHV7
O95718	Q6P2C8
O95718	Q71SY5
O95718	Q71F56
O95718	Q9NPJ6
O75586	O95718
O95718	Q96G25
O95718	P24863
O95718	Q96HR3
O43513	O95718
O95718	Q9NX70
O95718	P49336
O95718	Q9BUE0
A0JLT2	O95718
O95718	P24928
O95718	P30876
O95718	P19387
O95718	P62487
O95718	P49848
O00268	O95718
O95718	Q12962
O95718	P20226
O95718	P61964
O95718	P51610
O14686	O95718
O95718	Q8NEZ4
O95718	Q9UBL3
O95718	Q15291
O95718	Q5T1M5
O95718	Q9NZI7
O95718	Q9NSC2
O95718	Q96JM2
O95718	P06493
O60264	O95718
O95718	O95785
O95718	Q92785
O95718	Q15652
O95718	Q12800
O95718	Q969R5
O95718	Q9H7Z6
O95718	Q9H9B1
O95718	Q5UIP0
O15294	O95718
P51843	Q13127
Q96RE7	Q9Y2X9
Q01844	Q9Y2X9
P06493	Q9Y2X9
Q92785	Q9Y2X9
Q5UIP0	Q9Y2X9
O75530	Q14149
Q14149	Q15910
Q14149	Q92833
Q92833	Q9Y2F5
Q9Y2F5	Q9Y483
P51531	Q14980
P51531	Q9BQG0
P51531	Q9UQ35
P51532	Q14980
P51532	Q9UQ35
O75182	Q96JY0
Q12824	Q96JY0
Q96JY0	Q9NQI0
Q96JY0	Q9BXT4
Q8TC59	Q96JY0
Q96J94	Q96JY0
Q5TEC6	Q9H160
Q12830	Q5TEC6
O15516	Q15910
O00327	Q15910
Q15910	Q16526
P48431	Q9C0E2
P42338	Q14289
P12004	P42338
P25963	P55345
P54198	Q03060
P54198	Q8TEY5
P84243	Q8TEY5
Q5TEC6	Q8TEY5
P53355	Q8TEY5
O43683	Q8TEY5
Q8TEY5	Q9UJV9
Q8TEY5	Q9UJX3
O95347	Q8TEY5
P17844	Q8TEY5
Q8TEY5	Q92841
O95347	Q03060
O14980	Q03060
Q03060	Q9UJX3
Q14781	Q5TEC6
O00257	Q5TEC6
O95503	Q5TEC6
O95931	Q5TEC6
Q5TEC6	Q9HC52
Q09472	Q9H2F5
Q13485	Q9BWX5
O15379	Q9BZE0
Q99502	Q9H0F6
O00167	Q9H0F6
Q99502	Q9BYM8
P84243	Q96GD4
Q5TEC6	Q96GD4
P09874	Q96GD4
P22626	P67775
P67775	Q02539
P15036	Q12824
Q02447	Q96ST3
O75182	Q99583
O14640	Q13153
O15146	Q13153
O75197	P19022
O75581	P19022
P19022	P56704
Q9Y2T1	Q9Y3C5
O15169	Q9Y3C5
O75581	Q8NCW0
O14640	P34925
O14641	P12931
O14641	P08631
P56706	Q9ULW2
P34925	P41221
P56704	Q92765
P23760	Q9UJU2
Q5TEC6	Q96KQ7
P15976	Q16576
P15976	Q9UBB5
O95983	P15976
O60264	P15976
O43680	P10275
Q06413	Q86X55
P24864	Q00577
P14635	Q00577
P24385	Q00577
P51946	Q00577
P06493	Q00577
P11802	Q00577
Q00577	Q02539
P07998	Q13153
Q14469	Q92793
P23511	P24928
Q8WWY3	Q99836
P68371	Q99836
P40616	Q99836
Q5W0B1	Q99836
Q15208	Q99836
O14744	Q99836
