O75144	Q5TFQ8
Q9BY11	Q9Y490
Q99767	Q9Y2J2
O15085	Q6ZR37
O94887	Q6ZR37
P10911	Q6ZR37
P98174	Q6ZR37
Q14155	Q6ZR37
Q86VW2	Q8TER5
Q6ZR37	Q92974
Q6ZR37	Q96PX9
Q6ZR37	Q9UKW4
P52735	P57075
P20339	Q13153
Q99719	Q9Y6D5
Q99719	Q9Y6D6
P04626	P08922
P03999	P13945
P30411	P31391
P28221	P32239
P32239	P48145
P20701	P57087
P08922	Q01974
Q68CZ2	Q9HCM4
Q9NPD8	Q9NS56
P02778	P15692
P39905	P42684
P12319	Q6UXL0
P09382	Q9P1W8
O14492	Q9Y275
Q02410	Q8WWN9
Q7Z4P5	Q96PD4
P01024	Q14790
O60449	Q8WV28
Q8IWV2	Q92529
P36896	Q9H8T0
Q92529	Q9UQ52
Q92692	Q9Y624
P82279	Q9Y6N7
P35241	Q5JSP0
P02746	Q86UP6
O76041	P35241
P00519	P51959
Q00535	Q15475
P14210	Q16584
O15169	Q9HAV5
P47736	Q9UPQ3
P68036	Q8WTU0
Q8WTU0	Q9Y5K6
P03952	P49862
P08246	Q9BQR3
P12544	Q9BQR3
P20160	Q9BQR3
O60229	P41743
O15105	P06213
P04626	P10276
P21817	Q14289
O60312	Q8NB49
O60566	P07948
O95835	P16591
P04275	P20160
P19784	P30279
P20338	P43034
O60566	P49841
P43034	P51148
O14640	P56945
P51959	Q00526
O95758	Q8NDT2
O95661	Q8NDX1
Q15286	Q8NDX1
P52198	Q92538
P60763	Q92538
Q6T310	Q92538
O75901	Q92968
Q5TH69	Q96L33
P15153	Q9BQA1
P63000	Q9BQA1
P20338	Q9BQI7
Q6DN90	Q9HBH0
P17081	Q9NRD0
P20338	Q9NRD0
P51153	Q9NRD0
P61006	Q9NRD0
P61026	Q9NRD0
Q15669	Q9NRD0
Q99418	Q9NX57
Q96AX2	Q9NYI0
Q96BM9	Q9NYI0
Q96L33	Q9NYI0
Q16512	Q9P0M6
Q9NRD0	Q9UL26
Q92888	Q9ULC3
Q969Q4	Q9Y6D5
P61019	Q9Y6D6
P14866	Q8IXT5
Q15382	Q8N8L6
Q6ICB4	Q8TD55
Q6ICB4	Q8TED9
Q13151	Q96DU9
Q8WXF0	Q96H35
P57723	Q96I24
Q86UV7	Q9NQ86
P13500	P36897
P0C0E4	Q16512
Q5TCX8	Q9H6Q3
O15234	O75643
Q719H9	Q8N5I3
