Q15622	Q8NCG5
Q15654	Q9UHX1
Q15759	Q9BY41
Q15796	Q16630
Q16520	Q6UXB4
Q16629	Q9UKK6
Q4L180	Q9NR99
Q70YC5	Q8IZD9
Q8NCB2	Q9UJD0
Q8WWW0	Q969H4
Q96AG4	Q9NVI1
Q96EF0	Q9C0I1
Q99075	Q9P2B2
Q9BZE9	Q9NV58
O00567	P84090
Q9H3D4	Q9Y478
O14558	Q8IUD2
O14594	P25713
O14775	Q93045
O14787	P31483
O14933	Q8NHU6
O14980	Q15041
O14981	Q15544
O15111	Q15797
O15111	Q9UL54
O15164	Q00403
O15350	P17252
O15360	P98082
O43159	Q08999
O43390	P53618
O43524	P07437
O43559	P32239
O43918	P03372
O60234	O60603
O60566	Q92793
O60841	Q9BQA9
O75493	P62760
O75925	P27986
O96011	Q8TEY7
P00558	P11021
P02538	P02652
P04637	Q96MH2
P04792	P09917
P04908	Q9NVI1
P05109	P11021
P06748	P48730
P07437	Q86VP1
P08670	P16615
P09238	Q9NPA2
P09874	Q9NXR7
P09972	Q9UQ16
P10244	Q16665
P10586	Q96RT1
P11142	P35527
P12109	P24593
P13010	P27708
P13236	Q04941
P13797	P34096
P14543	Q9Y490
P17066	P53675
P18428	P21549
P18846	P18887
P20916	Q99884
P20936	Q9UBN7
P21579	Q13536
P25490	P28360
P25788	P36406
P25789	Q9BUZ4
P27708	Q96CX2
P28062	Q6GPH4
P29466	P43657
P0DP23	P31150
P0DP24	P31150
P0DP25	P31150
P31943	Q9NQT5
P38398	Q71SY5
P40763	Q15329
P42566	Q99962
P49736	P68363
P49815	Q9Y572
P51170	Q9Y345
P51692	Q96RS0
P52630	Q00839
P55196	Q9Y2J2
P55198	Q86UW9
P57682	Q13683
P63098	Q16611
P63104	Q13882
P63208	Q01201
P63261	Q9UBK9
P78362	Q96I25
P98177	Q15797
Q00526	Q09472
Q01826	Q9UIS9
Q12982	Q99933
Q13177	Q92934
Q13415	Q9NYZ3
Q13643	Q9H2S9
Q15080	Q9UM01
Q15468	Q99618
Q16236	Q8N3C0
Q16555	Q70YC5
Q16659	Q9Y6R4
Q3ZCQ8	Q99832
Q59EK9	Q9BRK0
Q7Z6A9	Q9Y3P8
Q7Z6Z7	Q9Y5P8
Q8IXJ9	Q96DZ5
O00299	P29466
Q96LB9	Q96PD5
Q96RT6	Q9UIB8
Q9UJ04	Q9Y467
O14672	P52799
O14763	P55212
O43175	P07437
O43502	P43351
O43524	Q15648
O43736	P23142
O60716	P48023
O60832	P51991
O75015	P25090
O75074	P20916
O75122	Q05513
O75398	Q9NRG4
O75444	P42224
O76083	Q9NYB9
O94906	Q13838
O94989	P51582
O95477	Q15303
O95972	P51582
O96017	Q92889
O96017	Q9NUW8
P00367	Q15758
P00533	Q9BZL6
P01112	P42566
P0DML2	Q9NRM0
P0DML3	Q9NRM0
P04198	P45983
P06241	P46531
P06401	Q14192
P06730	Q9NVP1
P07900	Q96CA5
P08047	P45984
P08069	Q14511
P08238	Q00537
P09525	P21673
P09923	Q02577
P10071	Q92831
P10242	P22736
P10301	P47928
P10636	P56524
P11277	Q96MT8
P11473	Q96GM5
P13569	Q92887
P14317	P25105
P14616	Q06187
P14867	Q2M2I8
P14923	Q92817
P17096	Q02447
P17302	Q15121
P19784	Q9H257
P20333	P25685
P20823	P43220
P21580	Q9P0K1
P21860	Q12959
P22223	P55286
P23142	Q02641
P23510	Q9NS68
P0DP23	P24534
P0DP24	P24534
P0DP25	P24534
P25490	P26447
P29353	Q00987
P29375	Q00577
P31150	Q9Y328
P32121	P62306
P32745	Q9HB21
P32856	Q8IUH5
P32926	P35222
P33151	Q07954
P34932	P48552
P35240	Q8IZE3
P35269	P43686
P39656	P55735
P40123	Q05639
P40763	Q00534
P41252	Q9NTK5
P42262	Q96DZ5
P42773	Q9Y3I1
P43246	Q99417
P43694	Q13887
P47775	Q9H2X3
P49354	Q9NR81
P49418	Q9NY72
P51679	P55774
P51959	Q92922
P52943	Q9H0R3
P53779	Q9NRW4
P53803	Q86UE4
P62736	Q16270
P63104	Q07890
P68133	Q15327
P68400	Q99966
P78317	Q86Y13
P78318	Q9Y5P8
P84090	Q02539
Q00610	Q9UDY4
Q00653	Q04637
Q00839	Q02447
Q01543	Q13651
Q02078	Q13503
Q03164	Q9Y232
Q03426	Q5T750
Q04206	Q7Z7L7
Q05193	Q13177
Q05655	Q96IF1
Q13490	Q7Z3U7
Q13564	Q16594
Q13794	Q14164
Q14761	Q92854
Q15025	Q92985
Q16513	Q8N4C8
Q8IZQ1	Q92793
O00273	Q92574
Q8WXS3	Q9BWQ8
Q92499	Q99697
Q92793	Q9BUJ2
Q969Q0	Q99471
Q96AY2	Q96HN2
O00422	P40763
Q96F44	Q99626
Q99558	Q9Y2U5
O00592	Q05066
O00750	P62258
Q9H3P7	Q9NRX5
Q9NQY0	Q9Y3L3
Q9Y478	Q9Y6K9
O14594	P02686
O14757	P61968
O14920	Q07666
O15085	Q9HAP6
O15111	P61586
O15350	P62136
O15397	P08670
O15524	Q71U36
O43143	Q6P1X5
O43187	P53778
O43439	Q96T58
O43491	P31947
O43524	P36897
O60271	Q04864
O60506	Q9UKL3
O75044	Q16555
O75335	P14867
O75475	P31942
O75493	Q14894
O75493	Q9UI15
O75995	P42768
O76096	Q13241
O96017	P23297
P00374	Q9NVP2
P00519	Q9HAU4
P00742	P08697
P02768	P31994
P03372	Q16666
P04150	P06454
P04792	Q01201
P05141	Q13257
P05155	P13611
P05156	P0C0L4
P05556	P61981
P06493	Q5VTR2
P07355	Q9H8S9
P08069	Q9UKV3
P08134	P24723
P08581	Q13761
P10275	Q9H3D4
P10276	Q8IZL8
P12268	Q99623
P12931	Q8IZW8
P13164	P55265
P13747	Q07444
P14616	Q13470
P15924	Q12774
P17252	P46108
P17677	P41180
P18583	Q8NEM2
P18669	Q03135
P20248	Q15131
P20265	P26367
P21781	Q9Y4H4
P22223	Q9UM54
P22692	Q8N2G6
P23246	Q9BVA1
P24593	Q96KM6
P24928	Q15059
P27816	Q9NXR1
P27986	Q14164
P29034	Q9H2X6
P29353	Q9BYB0
P31689	Q9BQG0
P35244	Q9UBD5
P35555	Q9UBG0
P39687	Q92973
P41212	Q8WUI4
P42166	Q53HL2
P42684	P45983
P42830	P51684
P45973	Q92922
P49810	P49840
P50479	Q9HB21
P51617	Q13451
P52630	Q9UBE8
P53041	Q15788
P53805	P54578
P53816	Q8TCG1
P55196	Q6WCQ1
P60201	Q6ZMQ8
P61981	P63261
P78314	Q13882
P78357	Q13094
P78527	Q13114
P84022	Q13951
Q01970	Q05513
Q04206	Q14103
Q06190	Q7Z6Z7
Q07955	Q92769
Q08211	Q8N163
Q08945	Q8WYH8
Q13043	Q16513
Q13509	Q6Q0C0
Q13526	Q15797
Q13536	Q8NCB2
Q13813	Q96A65
Q14204	Q9Y3P9
Q14684	Q9UKA4
Q15596	Q99623
Q15643	Q96FV9
Q15648	Q16594
Q15648	Q92547
Q16539	Q9HC62
Q3ZCQ8	Q9Y2U5
Q7L576	Q9UHK0
Q86YF9	Q9BQJ4
Q8IX03	Q96PY6
Q8IXF0	Q99743
Q8IY21	Q9BYX4
Q8NBT2	Q9NZJ0
Q8NEM7	Q9Y6W6
O00186	Q9BV40
O00214	Q9Y2I1
O00294	Q13087
Q92585	Q92786
Q92600	Q9BUF5
Q969V6	Q9H1I8
O00445	Q7L1I2
O00463	O00571
Q96N67	Q9H9Q2
Q96NE9	Q9P0V3
Q99626	Q9NSC5
Q9BRR3	Q9Y6Y1
Q9BWQ8	Q9H3H9
O00506	P30305
O00743	Q04864
Q9H160	Q9Y618
Q9HBW0	Q9NR77
Q9NPD3	Q9Y285
O14686	Q14258
O14744	P52429
O14744	P53779
O14757	Q14978
O14776	P22626
O14777	P35659
O14807	P47736
O14920	P49771
O14964	P19623
O15155	Q9BVI4
O15350	Q05086
O43175	P29508
O43318	P63165
O43318	Q15027
O43597	P63267
O43657	P19075
O43679	P03372
O43889	P10147
O60216	Q9NRF9
O60229	Q15784
O60353	P54709
O60762	Q96BY9
O60869	Q01196
O60885	P16104
O75044	Q3V6T2
A5PLL7	Q6UWE0
O75369	P10912
O75448	P28749
O75530	P15172
O75593	Q92988
O75886	P40763
O75925	Q15853
O94776	P12956
O94911	Q5JY77
O95178	P15954
O95196	Q05586
O95831	P35579
O95996	P07196
O96013	P49918
O96019	Q9Y4Y9
O96020	P51587
P00441	P24863
P00488	Q9UL01
P00533	Q9UER7
P01023	Q16270
P01137	P02452
P0DML2	P18545
P0DML3	P18545
P01375	P12644
P01574	P63261
P04406	P08047
P04637	Q71DI3
P05198	P42345
P05198	Q99613
P05387	P45985
P06400	Q9NP62
P06401	P10589
P06729	P62993
P06730	P41091
P06748	Q9Y265
P07333	Q06418
P07333	Q14242
P08238	P08708
P08238	P61353
P09326	P29466
P09769	P19784
P09769	Q13905
P09769	Q9NRY4
P09874	P49848
P10301	P49770
P10398	P80192
P10589	Q96RI1
P10809	P53350
P10909	Q9HCB6
P10914	P22607
P11274	P35968
P11802	P15336
P12931	Q9UBN7
P13010	Q13901
P13349	Q8TE12
P14151	Q92835
P14854	P56134
P15311	Q92569
P15407	Q03060
P15884	P22415
P15884	P37275
P16070	P42830
P16871	P51681
P17181	P18031
P17676	P28562
P17947	P35232
P18031	P98082
P19397	P61626
P19838	Q8N6T7
P20248	Q04206
P20248	Q15717
P21333	P98175
P21580	Q14978
P22102	P41252
P22681	Q14978
P25054	Q00653
P25100	P48050
P25963	P52294
P28062	P55265
P29590	Q12772
P30291	Q9NY61
P30419	Q9NRY4
P31152	Q99759
P31749	P53355
P35222	Q92529
P36941	P50591
P38398	Q8IVT5
P38398	Q9BVA1
P38606	Q06481
P38936	Q12873
P41743	Q8WUI4
